"symbolid","pricedatetime","open","high","low","close"
900745,2018-04-15,1.23322,1.23428,1.2323,1.2337
900745,2018-04-16,1.2338,1.23945,1.23238,1.2381
900745,2018-04-17,1.23813,1.24136,1.2335,1.23814
900745,2018-04-18,1.2381,1.23971,1.23413,1.2379
900745,2018-04-19,1.23782,1.24002,1.2328,1.23411
900745,2018-04-20,1.23414,1.23529,1.22496,1.22869
900745,2018-04-22,1.22722,1.2288,1.2263,1.22717
900745,2018-04-23,1.22715,1.22896,1.2183,1.22132
900745,2018-04-24,1.22131,1.22449,1.2181,1.22235
900745,2018-04-25,1.22232,1.22236,1.2158,1.2177
900745,2018-04-26,1.21774,1.22099,1.2095,1.21149
900745,2018-04-27,1.21151,1.2133,1.2055,1.21299
900745,2018-04-29,1.2123,1.21341,1.2117,1.21247
900745,2018-04-30,1.21249,1.2139,1.2063,1.20758
900745,2018-05-01,1.20758,1.20771,1.1981,1.20052
900745,2018-05-02,1.20051,1.20317,1.1937,1.198
900745,2018-05-03,1.19802,1.20088,1.1949,1.19924
900745,2018-05-04,1.19926,1.1994,1.19103,1.19601
900745,2018-05-06,1.19514,1.1979,1.19514,1.19668
900745,2018-05-07,1.19669,1.19691,1.1897,1.1914
900745,2018-05-08,1.19151,1.19327,1.18378,1.185
900745,2018-05-09,1.18518,1.1897,1.1821,1.18634
900745,2018-05-10,1.18635,1.19464,1.185,1.19178
900745,2018-05-11,1.19177,1.1968,1.189,1.19386
900745,2018-05-13,1.19414,1.1969,1.19379,1.19643
900745,2018-05-14,1.1965,1.19961,1.1921,1.1931
900745,2018-05-15,1.1933,1.19372,1.1815,1.1833
900745,2018-05-16,1.18332,1.18541,1.1763,1.18279
900745,2018-05-17,1.18278,1.18353,1.1776,1.1803
900745,2018-05-18,1.1802,1.18221,1.1748,1.1769
900745,2018-05-20,1.17669,1.17755,1.1743,1.17514
900745,2018-05-21,1.17515,1.17973,1.1715,1.17808
900745,2018-05-22,1.178,1.18296,1.1749,1.1763
900745,2018-05-23,1.17623,1.17684,1.16753,1.17037
900745,2018-05-24,1.1701,1.17504,1.16927,1.1708
900745,2018-05-25,1.17089,1.17334,1.1644,1.16479
900745,2018-05-27,1.16862,1.17187,1.1674,1.1716
900745,2018-05-28,1.1716,1.17284,1.1606,1.16283
900745,2018-05-29,1.16285,1.16395,1.1509,1.15334
900745,2018-05-30,1.15337,1.16761,1.1528,1.16662
900745,2018-05-31,1.16661,1.17243,1.16409,1.16818
900745,2018-06-01,1.16818,1.1718,1.16167,1.16574
900745,2018-06-03,1.16559,1.1697,1.16559,1.16948
900745,2018-06-04,1.16948,1.17444,1.1674,1.16905
900745,2018-06-05,1.16897,1.17344,1.1652,1.17265
900745,2018-06-06,1.17263,1.18,1.1712,1.1784
900745,2018-06-07,1.17863,1.184,1.1784,1.17986
900745,2018-06-08,1.1798,1.18103,1.1726,1.17674
900745,2018-06-10,1.1774,1.18076,1.1769,1.17928
900745,2018-06-11,1.17929,1.18204,1.174,1.1764
900745,2018-06-12,1.17643,1.1809,1.17328,1.17444
900745,2018-06-13,1.17446,1.1805,1.17251,1.1801
900745,2018-06-14,1.18011,1.18514,1.1554,1.15638
900745,2018-06-15,1.15637,1.16271,1.1542,1.16065
900745,2018-06-17,1.15869,1.16018,1.1575,1.15902
900745,2018-06-18,1.15901,1.16446,1.1564,1.16403
900745,2018-06-19,1.16404,1.16404,1.153,1.15744
900745,2018-06-20,1.15747,1.16,1.1535,1.15637
900745,2018-06-21,1.1562,1.16336,1.15079,1.16129
900745,2018-06-22,1.16132,1.16751,1.1607,1.16575
900745,2018-06-24,1.16618,1.1673,1.1645,1.16559
900745,2018-06-25,1.16559,1.17206,1.1627,1.17095
900745,2018-06-26,1.17093,1.1719,1.1634,1.16593
900745,2018-06-27,1.16592,1.1672,1.15399,1.1567
900745,2018-06-28,1.15678,1.165,1.1526,1.16353
900745,2018-06-29,1.16354,1.16904,1.1612,1.1681
900745,2018-07-01,1.16761,1.16912,1.165,1.16528
900745,2018-07-02,1.16529,1.16574,1.159,1.16321
900745,2018-07-03,1.16319,1.1679,1.1625,1.16647
900745,2018-07-04,1.16646,1.16818,1.1629,1.1658
900745,2018-07-05,1.16581,1.17202,1.1648,1.16874
900745,2018-07-06,1.16873,1.17676,1.1683,1.17423
900745,2018-07-08,1.17359,1.17672,1.17359,1.1762
900745,2018-07-09,1.17625,1.17907,1.1731,1.17475
900745,2018-07-10,1.17475,1.17549,1.169,1.1728
900745,2018-07-11,1.17291,1.17582,1.1664,1.1674
900745,2018-07-12,1.16761,1.16955,1.1649,1.16613
900745,2018-07-13,1.16614,1.1687,1.1612,1.16845
900745,2018-07-15,1.16886,1.16912,1.1674,1.16833
900745,2018-07-16,1.16832,1.17252,1.1681,1.17194
900745,2018-07-17,1.17193,1.17446,1.1647,1.16515
900745,2018-07-18,1.16516,1.16622,1.1601,1.16516
900745,2018-07-19,1.16516,1.16783,1.1574,1.165
900745,2018-07-20,1.165,1.17387,1.16326,1.17204
900745,2018-07-22,1.17256,1.17508,1.17216,1.17398
900745,2018-07-23,1.17406,1.17427,1.1679,1.1686
900745,2018-07-24,1.16866,1.17168,1.1654,1.16819
900745,2018-07-25,1.16816,1.17437,1.1663,1.1731
900745,2018-07-26,1.17323,1.17429,1.1636,1.16489
900745,2018-07-27,1.1649,1.16644,1.162,1.1656
900745,2018-07-29,1.16562,1.1665,1.1648,1.1654
900745,2018-07-30,1.16541,1.1719,1.1647,1.17087
900745,2018-07-31,1.17086,1.17459,1.1679,1.16796
900745,2018-08-01,1.16793,1.16995,1.1649,1.16507
900745,2018-08-02,1.16505,1.16537,1.158,1.1591
900745,2018-08-03,1.15906,1.16105,1.1557,1.15673
900745,2018-08-05,1.15678,1.15706,1.1556,1.15634
900745,2018-08-06,1.15633,1.15704,1.1529,1.1556
900745,2018-08-07,1.15555,1.162,1.155,1.1619
900745,2018-08-08,1.16184,1.1628,1.1572,1.16152
900745,2018-08-09,1.1615,1.1616,1.1516,1.1533
900745,2018-08-10,1.15322,1.15332,1.1386,1.141
900745,2018-08-12,1.13707,1.14114,1.1367,1.13823
900745,2018-08-13,1.13824,1.14329,1.1364,1.14064
900745,2018-08-14,1.14065,1.14292,1.1318,1.13227
900745,2018-08-15,1.13226,1.13908,1.13,1.1387
900745,2018-08-16,1.13869,1.14091,1.13472,1.13775
900745,2018-08-17,1.13774,1.14451,1.1372,1.14379
900745,2018-08-19,1.14378,1.144,1.1425,1.14311
900745,2018-08-20,1.14309,1.1542,1.1394,1.15245
900745,2018-08-21,1.15244,1.16011,1.1491,1.15754
900745,2018-08-22,1.15754,1.16228,1.1548,1.1553
900745,2018-08-23,1.15531,1.15906,1.1529,1.15549
900745,2018-08-24,1.15547,1.16396,1.155,1.16202
900745,2018-08-26,1.1615,1.16535,1.1615,1.16256
900745,2018-08-27,1.16263,1.16971,1.1594,1.16739
900745,2018-08-28,1.1673,1.17335,1.1661,1.16947
900745,2018-08-29,1.16947,1.17136,1.1651,1.17001
900745,2018-08-30,1.17001,1.1718,1.1641,1.16635
900745,2018-08-31,1.16634,1.16901,1.15837,1.16002
900745,2018-09-02,1.15949,1.1605,1.1588,1.15987
900745,2018-09-03,1.15988,1.1628,1.15908,1.16007
900745,2018-09-04,1.16009,1.16111,1.1529,1.15964
900745,2018-09-05,1.15963,1.16593,1.1542,1.1634
900745,2018-09-06,1.16342,1.1655,1.1605,1.16236
900745,2018-09-07,1.1622,1.16493,1.1549,1.15524
900745,2018-09-09,1.15474,1.15641,1.1541,1.15438
900745,2018-09-10,1.15439,1.1616,1.1525,1.15979
900745,2018-09-11,1.1598,1.16441,1.1565,1.15854
900745,2018-09-12,1.15855,1.16495,1.1569,1.16371
900745,2018-09-13,1.16372,1.17012,1.1608,1.16927
900745,2018-09-14,1.16929,1.17214,1.1619,1.16213
900745,2018-09-16,1.16238,1.16364,1.1621,1.16359
900745,2018-09-17,1.16358,1.17029,1.16176,1.1694
900745,2018-09-18,1.16951,1.17245,1.1651,1.16743
900745,2018-09-19,1.16741,1.17149,1.1649,1.16782
900745,2018-09-20,1.16782,1.17853,1.1676,1.17838
900745,2018-09-21,1.17837,1.18027,1.17323,1.17468
900745,2018-09-23,1.17407,1.1753,1.1736,1.1742
900745,2018-09-24,1.174,1.1815,1.1723,1.1738
900745,2018-09-25,1.17402,1.17925,1.1733,1.17662
900745,2018-09-26,1.17661,1.17975,1.1725,1.17508
900745,2018-09-27,1.175,1.17522,1.1631,1.16474
900745,2018-09-28,1.16475,1.16511,1.1569,1.16023
900745,2018-09-30,1.16168,1.16171,1.1592,1.15961
900745,2018-10-01,1.15961,1.16246,1.1562,1.15701
900745,2018-10-02,1.15701,1.15936,1.1504,1.15797
900745,2018-10-03,1.15798,1.15928,1.14634,1.14723
900745,2018-10-04,1.14724,1.15424,1.1462,1.15063
900745,2018-10-05,1.1505,1.15496,1.1483,1.1519
900745,2018-10-07,1.1521,1.15296,1.1509,1.1511
900745,2018-10-08,1.15123,1.15157,1.1459,1.14899
900745,2018-10-09,1.14899,1.15152,1.1431,1.15101
900745,2018-10-10,1.15101,1.15722,1.1478,1.15681
900745,2018-10-11,1.15679,1.1609,1.1534,1.1602
900745,2018-10-12,1.16024,1.16103,1.1534,1.15578
900745,2018-10-14,1.15373,1.15555,1.15373,1.1547
900745,2018-10-15,1.15471,1.16061,1.1541,1.15762
900745,2018-10-16,1.15758,1.16218,1.1555,1.15609
900745,2018-10-17,1.15607,1.15778,1.1493,1.14999
900745,2018-10-18,1.14998,1.15272,1.1446,1.14569
900745,2018-10-19,1.14574,1.15344,1.1432,1.15128
900745,2018-10-21,1.15148,1.1518,1.1497,1.15144
900745,2018-10-22,1.15145,1.155,1.1452,1.14541
900745,2018-10-23,1.14542,1.14936,1.1438,1.14703
900745,2018-10-24,1.14707,1.14766,1.13782,1.14111
900745,2018-10-25,1.141,1.14325,1.1355,1.13647
900745,2018-10-26,1.13649,1.14208,1.1334,1.1401
900745,2018-10-28,1.13916,1.1404,1.1385,1.13944
900745,2018-10-29,1.13944,1.14162,1.136,1.13815
900745,2018-10-30,1.13817,1.13877,1.1337,1.134
900745,2018-10-31,1.13405,1.136,1.1301,1.1346
900745,2018-11-01,1.13461,1.1424,1.1336,1.13994
900745,2018-11-02,1.14,1.1456,1.1371,1.13857
900745,2018-11-04,1.1388,1.13993,1.1381,1.13844
900745,2018-11-05,1.13844,1.14239,1.13525,1.13996
900745,2018-11-06,1.13991,1.14728,1.1391,1.14572
900745,2018-11-07,1.14572,1.14999,1.1421,1.1423
900745,2018-11-08,1.14245,1.14467,1.1339,1.13474
900745,2018-11-09,1.13474,1.13598,1.13159,1.1332
900745,2018-11-11,1.1322,1.1331,1.1312,1.13227
900745,2018-11-12,1.13221,1.13232,1.1214,1.1246
900745,2018-11-13,1.12462,1.1321,1.1221,1.1287
900745,2018-11-14,1.12871,1.13475,1.1262,1.13375
900745,2018-11-15,1.13376,1.13623,1.12703,1.13336
900745,2018-11-16,1.13336,1.14204,1.132,1.14153
900745,2018-11-18,1.1413,1.14209,1.1396,1.13978
900745,2018-11-19,1.1397,1.14644,1.1392,1.14458
900745,2018-11-20,1.14458,1.14723,1.1357,1.13775
900745,2018-11-21,1.13775,1.14244,1.13669,1.139
